[1/100] ✅ OK (1.03s) | ID: c78043a4-95dc-4b26-90d8-fd791278a556 | Pred: lost_or_stolen_card
[2/100] ✅ OK (0.30s) | ID: e61eec72-07f2-4c0d-97f9-d1ae319b8b88 | Pred: card_arrival
[3/100] ✅ OK (0.36s) | ID: 4581c31d-9bc5-407e-ad5a-d5edbf472484 | Pred: top_up_by_bank_transfer_charge
[4/100] ✅ OK (0.29s) | ID: a755914b-4891-4d25-bafb-0cdee895744c | Pred: cancel_transfer
[5/100] ✅ OK (0.31s) | ID: c4cd320b-56a5-4fa3-877b-954e1007a62f | Pred: terminate_account
[6/100] ✅ OK (0.29s) | ID: fc80ffdc-161c-4148-ac0e-b663b45c5109 | Pred: beneficiary_not_allowed
[7/100] ✅ OK (0.30s) | ID: 98684a8b-1606-463e-a64b-885866e9c976 | Pred: lost_or_stolen_card
[8/100] ✅ OK (0.30s) | ID: 6346b6e5-6855-441b-9c5e-72347842c056 | Pred: cancel_transfer
[9/100] ✅ OK (0.31s) | ID: f3fcc05b-bcf1-4a55-b2b3-35642e855a97 | Pred: card_not_working
[10/100] ✅ OK (0.29s) | ID: 6efba9b8-01cf-4c69-a97d-93a1c08a8981 | Pred: lost_or_stolen_card
[11/100] ✅ OK (0.29s) | ID: 88654022-f68b-4120-8bec-a205688409c8 | Pred: terminate_account
[12/100] ✅ OK (0.29s) | ID: 888fe1d8-8b12-425f-bb8d-9e60a3985648 | Pred: country_support
[13/100] ✅ OK (0.30s) | ID: 419180db-5800-433c-9442-7320edb904d9 | Pred: balance_not_updated_after_bank_transfer
[14/100] ✅ OK (0.32s) | ID: c0509ea8-75e3-445d-bec7-4fe0b13af5ac | Pred: lost_or_stolen_card
[15/100] ✅ OK (0.27s) | ID: 003f4307-3740-4b25-bc00-095ac31cc7d7 | Pred: card_delivery_estimate
[16/100] ✅ OK (0.29s) | ID: 7fad0c8b-beb2-4b60-befd-c6b3707db76f | Pred: lost_or_stolen_card
[17/100] ✅ OK (0.31s) | ID: d6009da9-e23c-4fa9-8d14-686953832de1 | Pred: cancel_transfer
[18/100] ✅ OK (0.30s) | ID: e449a496-850c-49e1-9406-87c5721e009b | Pred: fiat_currency_support
[19/100] ✅ OK (0.30s) | ID: 62739e11-3c14-422b-8771-3c83108331fa | Pred: card_not_working
[20/100] ✅ OK (0.30s) | ID: 0d94947e-265e-4c29-81e9-9a1ad77f1335 | Pred: fiat_currency_support
[21/100] ✅ OK (0.29s) | ID: 89b9778d-7776-4353-88c9-fc74a0cc2bea | Pred: visa_or_mastercard
[22/100] ✅ OK (0.34s) | ID: 3500aa9a-122d-47c2-8588-b0bae3ee6b86 | Pred: card_arrival
[23/100] ✅ OK (0.37s) | ID: a398df31-76e4-4cd5-a104-3e120626e6b4 | Pred: balance_not_updated_after_bank_transfer
